"sha256","group_file_count","bytes_per_copy","potential_duplicate_bytes_beyond_one_copy","relative_path"
"30BDA9E91870FDC686FFB62CDC7A274BFB9B4C4456C41980A6B576499F1798B5","2","587910","587910","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v638/02_InterPressTransferSystem/Original/left.png"
"30BDA9E91870FDC686FFB62CDC7A274BFB9B4C4456C41980A6B576499F1798B5","2","587910","587910","Candidate/PressTrains/TrainA/MeshySupportingSystemsReferences_v634/Asset02_InterPressTransferSystem/left.png"
"32780226C8F512B680EBF24A0DF66D498754314E533DC23EED7B538EB5BB4095","2","558329","558329","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v641/01_DieChangeCart/Original/front.png"
"32780226C8F512B680EBF24A0DF66D498754314E533DC23EED7B538EB5BB4095","2","558329","558329","Candidate/PressTrains/TrainA/MeshySupportingSystemsReferences_v634/Asset06_DieChangeCart/front.png"
"3329155A53A8878679D11443C357E55A73C58C3A9643A04AC88D78B292E61C48","2","134444","134444","Candidate/PressTrains/TrainA/Audio_v001/PTA_EmergencyStop_v001.wav"
"3329155A53A8878679D11443C357E55A73C58C3A9643A04AC88D78B292E61C48","2","134444","134444","Candidate/PressTrains/TrainA/Audio_v002/PTA_EmergencyStop_v002.wav"
"350FA7C43719A21467C81E59BD7F544FAD4BA79FAD7FC0D78E268EC1E6464CAD","2","9449","9449","Shared/HMI/v003_ue001/SM_LB_HMI_CabinetBody.fbm/PR005_HMI_brushed_stainless_cabinet_Hairline"
"350FA7C43719A21467C81E59BD7F544FAD4BA79FAD7FC0D78E268EC1E6464CAD","2","9449","9449","Shared/HMI/v003_ue001/SM_LB_HMI_RearServiceDoor.fbm/PR005_HMI_brushed_stainless_cabinet_Hairline"
"3514536835E84047A0EA80368C3C487FD151629D95F5CB6A44E60B4D1ECD6B8E","2","476036","476036","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/11_FlywheelRotorShaft/Original/left.png"
"3514536835E84047A0EA80368C3C487FD151629D95F5CB6A44E60B4D1ECD6B8E","2","476036","476036","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Prepared/Meshy6Views_v645/11_FlywheelRotorShaft/left.png"
